alpha_1	alpha_2	alpha_3	alpha_4
 0.03287	 0.11296	-0.01944	-0.01898
 0.05278	 0.10926	-0.01852	-0.01852
 0.04120	 0.11019	-0.01389	-0.02731
 0.05000	 0.10926	-0.01111	-0.03519
 0.04352	 0.11852	-0.01181	-0.04213
 0.04028	 0.11944	-0.01366	-0.03889
 0.02731	 0.11759	-0.01204	-0.03472
 0.02361	 0.11481	-0.01458	-0.04120
 0.01852	 0.11204	-0.01181	-0.03241
 0.02407	 0.13241	-0.01713	-0.03102
 0.03148	 0.11389	-0.01435	-0.02639
 0.03148	 0.10370	-0.01574	-0.03843
 0.04213	 0.12037	-0.00972	-0.02778
 0.03750	 0.11389	-0.00162	-0.02824
 0.03796	 0.12593	-0.00625	-0.03426
 0.05046	 0.12593	 0.00023	-0.03380
 0.03565	 0.12593	-0.00116	-0.03194
 0.03102	 0.13519	 0.00324	-0.02870
 0.02222	 0.13426	-0.00556	-0.02130
 0.01667	 0.14444	-0.00903	-0.00417
 0.00787	 0.14259	-0.01065	-0.00185
 0.02639	 0.13796	-0.01412	-0.00648
 0.02778	 0.13704	-0.00625	-0.01065
 0.03148	 0.13241	-0.00347	-0.03009
 0.02546	 0.14352	-0.00671	-0.01991
 0.03056	 0.14537	-0.01319	-0.02778
 0.03194	 0.13704	-0.01852	-0.01481
 0.03148	 0.13981	-0.02546	-0.02315
 0.03009	 0.14815	-0.02245	-0.01759
 0.01806	 0.12778	-0.01157	-0.02454
 0.03009	 0.13981	-0.01366	-0.02222
 0.03796	 0.14259	-0.01481	-0.01065
 0.03704	 0.13148	-0.01644	-0.01528
 0.04537	 0.12685	-0.02593	-0.02315
 0.05046	 0.13333	-0.01898	-0.01389
 0.04120	 0.13333	-0.02801	-0.02037
 0.04630	 0.12963	-0.03079	-0.02176
 0.05370	 0.12593	-0.03449	-0.02222
 0.06481	 0.13704	-0.03079	-0.01852
 0.07083	 0.13519	-0.03819	-0.03056
 0.05046	 0.13056	-0.04167	-0.02963
 0.04769	 0.13056	-0.03935	-0.03333
 0.04815	 0.14167	-0.03333	-0.02685
 0.04630	 0.13611	-0.02199	-0.02870
 0.02917	 0.13704	-0.02569	-0.02870
 0.05602	 0.12130	-0.02245	-0.02500
 0.07037	 0.12963	-0.02130	-0.02731
 0.08148	 0.14167	-0.01458	-0.02222
 0.06759	 0.13519	-0.01366	-0.03009
 0.05509	 0.13241	-0.01713	-0.01389
 0.06296	 0.12963	-0.01875	-0.02269
 0.05926	 0.12778	-0.01690	-0.02454
 0.05648	 0.13704	-0.02083	-0.02269
 0.05370	 0.13426	-0.03171	-0.02685
 0.05324	 0.11852	-0.03472	-0.02685
 0.05741	 0.12593	-0.02778	-0.02593
 0.04861	 0.14167	-0.02778	-0.01667
 0.04815	 0.13889	-0.02616	-0.02454
 0.05324	 0.14167	-0.03171	-0.03287
 0.05880	 0.14444	-0.03148	-0.02130
 0.05787	 0.14537	-0.02546	-0.02222
 0.06528	 0.15278	-0.02431	-0.02870
 0.04259	 0.14722	-0.01829	-0.03333
 0.03565	 0.14907	-0.01505	-0.03704
 0.03426	 0.15833	-0.01343	-0.01250
 0.05000	 0.16111	-0.01435	-0.01204
 0.05741	 0.15833	-0.01505	-0.01204
 0.04815	 0.15741	-0.02431	-0.01528
 0.04213	 0.15463	-0.03333	-0.02083
 0.06759	 0.14907	-0.02870	-0.00833
 0.05278	 0.15648	-0.02338	-0.01667
 0.05509	 0.15370	-0.01736	-0.02454
 0.05602	 0.15370	-0.01181	-0.01481
 0.05694	 0.15278	-0.01204	-0.01296
 0.04537	 0.15278	-0.01829	-0.01389
 0.05324	 0.15093	-0.01343	-0.02083
 0.05370	 0.14074	-0.01389	-0.00417
 0.04630	 0.14352	-0.01829	-0.00787
 0.04954	 0.14074	-0.02153	-0.01481
 0.05833	 0.15000	-0.01481	-0.01620
 0.07639	 0.14907	-0.01181	-0.00231
 0.05880	 0.15278	-0.01574	-0.01019
 0.06481	 0.14444	-0.01944	-0.00648
 0.06481	 0.15185	-0.02014	-0.00787
 0.05370	 0.13796	-0.02500	-0.02731
 0.05694	 0.13056	-0.02315	-0.03611
 0.06574	 0.14815	-0.01690	-0.02361
 0.07917	 0.16389	-0.02014	-0.02269
 0.07639	 0.15463	-0.02106	-0.03194
 0.06852	 0.13796	-0.02315	-0.03565
 0.07778	 0.12685	-0.01829	-0.04167
 0.07870	 0.13241	-0.02037	-0.03796
 0.07130	 0.14815	-0.02755	-0.02963
 0.06574	 0.14815	-0.02616	-0.03287
 0.07130	 0.14630	-0.02106	-0.02824
